 Xe Density=3.64
 Energy(eV), Delta, Beta
  30.  0.116490535  0.042193234
  30.2115593  0.114327066  0.0406869166
  30.4246082  0.112189651  0.0392344482
  30.6391602  0.110086612  0.0378338434
  30.8552246  0.108016096  0.0364831053
  31.0728111  0.105977863  0.035180483
  31.291935  0.103974551  0.0339244194
  31.5126057  0.10200353  0.0327133909
  31.734827  0.10006734  0.0315456502
  31.9586201  0.0982514322  0.0303785596
  32.1839867  0.0964718834  0.0292523317
  32.4109497  0.0946627781  0.0280713309
  32.6395073  0.0928549692  0.0268905461
  32.8696785  0.0910374448  0.0257594585
  33.1014748  0.0891846418  0.0246759951
  33.3348999  0.0873616785  0.0236381013
  33.5699768  0.085532479  0.0226437729
  33.8067093  0.0837373286  0.0216912758
  34.0451126  0.0819471627  0.0207787864
  34.2851944  0.0801841542  0.0199047215
  34.5269699  0.0784383938  0.0190674383
  34.7704506  0.07671161  0.0182654075
  35.0156517  0.0750109702  0.0174970813
  35.2625809  0.0733222812  0.0167610738
  35.5112457  0.0716661364  0.0160560291
  35.761673  0.0700166523  0.0153806247
  36.0138588  0.0683982447  0.0147336368
  36.2678261  0.0667741671  0.0141138844
  36.5235825  0.0651646405  0.013520211
  36.7811432  0.0635816008  0.0129774977
  37.0405197  0.0620218292  0.0124950055
  37.3017273  0.0604952425  0.012032195
  37.5647774  0.0590152405  0.0115999989
  37.8296776  0.0575648285  0.0111833485
  38.0964508  0.0561406575  0.0107816812
  38.3651047  0.0547444895  0.0103944549
  38.6356544  0.0533517934  0.0100211129
  38.9081116  0.0519670323  0.00966116041
  39.1824837  0.0506080016  0.00933304988
  39.4587975  0.0492696427  0.00906801037
  39.7370605  0.0479587652  0.0088104941
  40.0172768  0.0467082039  0.00858633034
  40.2994804  0.0454838835  0.0083684288
  40.5836678  0.0442920513  0.00815606955
  40.8698578  0.0431278497  0.00794910453
  41.1580734  0.0419863313  0.00774737075
  41.4483147  0.040866714  0.00755074527
  41.7406044  0.0397680067  0.00735940132
  42.0349579  0.0386775099  0.00717484578
  42.3313828  0.0376097113  0.00699491939
  42.6298981  0.03656267  0.00683870493
  42.9305229  0.0355372503  0.00668943441
  43.2332649  0.0345315076  0.0065434128
  43.5381432  0.0335455127  0.00640057074
  43.8451691  0.0325774401  0.00626084674
  44.1543655  0.0316224694  0.0061241691
  44.4657364  0.0306878351  0.00599047774
  44.7793045  0.0297584422  0.00585971633
  45.0950851  0.0288489368  0.00573180849
  45.4130936  0.0279367454  0.00560670067
  45.7333412  0.0270355102  0.00548432907
  46.055851  0.0261474885  0.00537632499
  46.3806305  0.025270449  0.00528578879
  46.7077026  0.0244117212  0.0051971972
  47.0370789  0.0235658288  0.00511251949
